	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	capillary endothelial cell	endothelial cell	endothelial cell of artery	fibroblast	macrophage	mast cell	natural killer cell	neutrophil	pericyte	smooth muscle cell	vein endothelial cell
CD7	0.059098	0.109718	0	0	0	0	0.00415828	0	0.334417	0	0	0	0
CD72	0.0134761	0	0	0	0	0	0.00132078	0	0	0	0	0	0
CD74	0.583646	1.42909	4.16855	4.02165	3.64961	0.243581	2.73147	0.239595	0.448132	0	5.87364e-05	0	5.07218
CD79B	0	0	0.435436	0.514206	0	0	0	0.401218	0	0	0	0	0.838508
CD81	0.14434	0.224167	1.08487	0.900567	0.524263	1.06323	0.971177	0.176972	0.372402	0	0.593602	1.07102	1.48103
CD82	0.0979449	0.218135	0.361618	0.0272754	0	0.0836006	0.110785	1.12236	0.0615009	0.353061	0.156394	0.300335	0
CD83	0.0715671	0.140937	0	0.0930652	0	0.0175711	1.38474	0.486277	0	0	0	0	0
CD84	0.291857	0.380344	0	0	0	0	0.742289	1.49948	0	0	0	0	0
CD86	0	0	0	0	0	0	0.195341	0	0	0	0	0	0
CD8A	0.592101	1.25682	0	0	0	0.0344429	0	0	0	0	0	0	0
CD8B	0.232799	0.551575	0	0	0	0.0431097	0	0	0	0	0	0	0
CD9	0	0	0	1.07066	2.30336	0.690144	0.360535	1.38692	0	0	1.35891	1.40795	0
CD93	0	0	0.981995	0.969429	0.83897	0	0.230212	0	0	0	0.098031	0	1.83993
CD96	1.00345	0.507607	0	0	0	0.0378304	0	0	0.523997	0	0	0	0
CD99	0.00513136	0.00438608	0.00762066	0.00538932	0.0050473	0.00612601	0.0140564	0.000204338	0.0101654	0	0.00302337	0.00801159	0.00369
CD99L2	0	0	0	0.0243719	0.0610066	0.115861	0.15773	0	0	0	0.0633426	0.0683767	0.184504
CDA	0	0	0.319154	0.216521	0.4061	0.144909	0.0346073	0	0	0	0	0	0
CDADC1	0	0.197967	0	0.0185488	0	0.0585844	0	0.182128	0	0	0.0634091	0.117604	0
CDAN1	0	0.0553056	0	0.00620856	0	0.000190761	0.0655319	0.0655245	0	0	0	0	0
CDC123	0.19894	0.376328	0.0214116	0.347685	0.397967	0.341455	0.18431	0.282741	0	0	0.301324	0.0891257	0
CDC14A	0.110682	0.0465082	0	0.0216327	0	0.0308162	0.000369191	0	0	0	4.37428e-05	0	0
CDC14B	0	0	0	0	0	0.0835915	0	0	0	0	0.0460472	0.19351	0
CDC16	0.0696846	0	0	0.233484	0	0.0512889	0.19056	0.450718	0	0	0.0351504	0.0762036	0
CDC23	0.0068671	0	0	0.0760513	0	0.034301	0.00380195	0	0	0	0.220807	0.127375	0
CDC25B	0	0	0.0155989	0.122264	0	0.0842903	0.0770021	0	0	0	0.107954	0.0832783	0
CDC25C	0	0	0	0	0	0	0.000146931	0	0	0.0539846	7.22487e-05	0	0
CDC26	0.389591	0.130596	0.471131	0.196569	0.175467	0.236682	0.0437905	0.103428	0	0	0.158341	0.198696	0.421662
CDC27	0.0101158	0.113283	0	0.141511	1.0947	0.235842	0.0642892	0.70833	0	0	0.158972	0.124141	1.1444
CDC34	0	0	0	0.0227013	0	0.00421869	0.148243	0	0	0	0.020293	0	0
CDC37	0.230998	0.185271	1.55403	0.558992	0	0.120056	0.209599	0	0	0	0.267639	0.311978	0
CDC37L1	0.384043	0.110468	0	0.154364	0	0.316842	0.0331113	0.126645	1.00705	0	0.296228	0.3244	0
CDC40	0.116723	0.149441	0.359808	0.0770456	0	0.149823	0.045581	0.000220402	0	0	0.0642113	0.0420693	0
CDC42	0.0111419	0.2796	0.000472377	0.146748	0	0.0140239	0.0864056	0.00728468	0.472729	0.121141	0.0539996	0.000750009	0.0055179
CDC42BPA	0.000335506	0	1.45005	0.341182	0.976111	0.214968	0.0924934	0.503595	0	0.227128	0.364812	0.389305	0.223227
CDC42BPB	0	0	0.0409082	0.103304	0	0.0446292	0.0833438	0	0	0	0.0441747	0	0.088841
CDC42BPG	0.000826295	0.000726673	0	0	0	0.000334766	0.00546241	0.000489654	0	0	7.96299e-05	0	0
CDC42EP1	0	0	0.186261	0.093236	0.102967	0.0673486	0	0	0	0	0.0117853	0.0211218	0.552035
CDC42EP2	0	0	0	0.0042837	0	0.0138135	0	0	0	0	0.00315516	0	0
CDC42EP3	0.133909	0.0109125	0.663366	0.480665	0.00208553	0.0167688	0.255111	0.109986	0.531296	0	0.274483	0.723388	1.13125
CDC42EP4	0	0.0823131	1.43569	0.490156	0	0.505642	0.0690641	0	0	0	0.247086	0.144433	0.801177
CDC42EP5	0	0	0	0.0614667	0	0.000258122	0	0	0	0	0.00568688	0	0
CDC42SE1	0.286108	0.102621	0	0.0314204	0	0.0894502	0.327249	0	0.00113301	0	0.0264986	0.0949905	0
CDC42SE2	1.03867	0.963998	0.636744	0.153984	0	0.150556	0.225046	0.248565	0.567211	0.353061	0.249836	0	0
CDC5L	0.201466	0.180907	0	0.272979	0.0168856	0.256444	0.295153	0.199067	0	0	0.403929	0.254053	0.558785
CDC6	0	0	0	0	0	0.0894051	0	0	0	0	0	0	0
CDC7	0.0280722	0.111805	0	0.0330181	0	0.0225766	0.00143912	0	0	0	0.0383414	7.75087e-05	0
CDC73	0.234873	0.0313807	0.225056	0.0708856	0.498247	0.21737	0.0198569	0	0	0	0.116504	0.0755676	0.00369007
CDCA4	0.0274008	0.0876368	0	0	0	0.0348584	0	0	0.591397	0	0	0.000274443	0
CDCA5	0	0	0	0.0609042	0	0	0.0818639	0	0	0	0	0	0
CDCA7	0	0	0	0	0	0	0	0	0.035345	0	0.0324598	0	0
CDCA7L	0.000288158	0	0	0	0	0.0149937	0	0	0	0	0.0400725	0	0
CDCP1	0	0	0	0	0	0	0.0326163	0	0	0	5.24128e-05	0	0
CDH11	0	0.000183095	0	0.0465328	0.147874	0.224908	0	0	0	0	0	0.074919	0
CDH12	0	0.000114703	0	0.00039002	0	0	9.59334e-05	0	0	0	0	0	0
CDH13	0	0.000911854	0.516775	0.0930817	1.24957	1.60934e-05	0.000337719	0.000204338	0	0	0.133643	0.920331	0
CDH2	8.95049e-05	0	0	0	0	4.64084e-05	0.000337719	0	0	0	0	0.242888	0
CDH23	0	0.0722952	0	0.00127882	0.200011	0.00836522	0.0853368	0	0	0	0.0440984	0	0
CDH26	0	0	0	0.0948717	0	0	0.118185	0	0	0	0.0252374	0	0
CDH5	0	0	1.2122	0.764036	2.84231	0.0180552	0.000447846	0	0	0	0	0	1.67318
CDH6	0.000159919	0	0	0	0	0	0	0	0	0	0.740947	0.204877	0
CDH8	0	0	0	0	0	1.58664e-05	0.00274641	0	0	0	0.000106712	0	0
CDHR3	0	0.00630373	0	0	0	0.024262	0	0	0	0	4.77695e-05	0	0
CDIPT	0	0	0	0.149612	0	0.41563	0.24979	0.0522108	0	0	0.0515661	0.181223	0.241328
CDK10	0	0.0175636	0	0.150985	0	0.0518745	0.159645	0	0	0	0.0702012	0.0108212	0
CDK11A	0.138574	0.0708828	0.0616155	0.134765	0.00999252	0.0353652	0.0697984	0.0438809	0.226209	0	0.038437	0.0059898	0
CDK11B	0.0764417	0.0796274	0.494909	0.0843417	0.64559	0.072842	0.180965	0.0177793	0.0887674	0.474138	0.130093	0.239094	0
CDK12	0.136405	0.0756775	0	0.000756703	0.400019	0.0470113	0.115309	0.14598	0	0	0.0476613	0.0348711	0
CDK13	0.17831	0.534343	0.458017	0.129888	0	0.183369	0.198901	0.367721	0.439235	0	0.0861649	0	0
CDK14	0	0	0.143208	0.000559697	0	0.0323106	0	0	0	0	0.1342	0.124608	0
CDK15	0	0	0	0	0	6.26961e-05	0	0.968759	0	0	0.0166838	0	0
CDK16	0.000104411	0.181969	0	0.0357019	0	0.11852	0.0011887	0	0	0	0.0896343	0.0197552	0
CDK17	0.0205418	0.0914692	0.00375687	0.278407	0	0.0664922	0.0998093	0.00243297	0.0148955	0	0.0248456	0.0581696	0.607787
CDK18	0	0	0	0	0	0	0.031329	0	0	0	0.0361694	0	0
CDK19	0.00179298	0.0038021	0	0.013735	0.00172758	0.0976118	0.0160098	0	0	0	0.00277811	0	0
CDK2	0.00105783	0.0586353	0.231789	0.0274805	0.0274312	0.048456	0.045742	0	0	0	0.0901652	0.00159787	0
CDK2AP1	0.0710368	0	0.186532	0.227731	0.595942	0.387113	0.389363	0.283658	0	0	0.26947	0.246756	0
CDK2AP2	0.253853	0.752188	0.865069	0.318052	0.476361	0.439111	0.186556	0.000977636	0	0	0.861231	0.474162	0.413225
CDK4	0	0.105026	0.28776	0.100276	0	0.415815	0.015207	0.219861	0	0	0.319081	0.0575205	0
CDK5	0	0	0	0.150044	0	0.0505774	0	0	0	0	0.0387663	0	0
CDK5RAP1	0.239758	0.0676944	0.57537	0.100053	0.0806276	0.121421	0.0602194	0	0	0	0.0466809	0.0106697	0
CDK5RAP2	0.0334307	0.049215	0	0.110266	0	0.150187	0.170633	0	0	0	0.0537974	0.113872	0
CDK5RAP3	0.140089	0.199969	0	0.0541844	0.0971953	0.0671278	0.117351	0.313997	0.0816233	0	0.0503546	0.0379037	0
CDK6	0.204577	0.278874	0.0619873	0.131968	0	0	0.274153	0	0	0	0.0274651	0	0
CDK7	0.0443124	0	0	0.0935807	0	0.14306	0.0576692	0.357537	0	0	0.0772714	0.215077	0
CDK8	0	0.13599	0	0	0	0.0269254	0.0786553	0	0	0	0.000512075	0.119004	0
CDK9	0.126189	0.0164415	0.0758381	0.0844064	0.272847	0.132644	0.0612448	0	0.0699964	0	0.189636	0.0832087	0.176762
CDKAL1	0.0143018	0	0	0	0	0.0558777	0.00679018	0	0	0	0.0371128	0.00326902	0.0109895
CDKL1	0	0	0.0649951	0.0848222	0	0.0312705	0.112299	0	0	0	0.0695626	8.96899e-05	0
CDKL3	0	0	0	0	0	0.0193829	0	0.149649	0	0	0.001195	0	0
CDKL5	0	0	0	0	0	0.0312159	0	0	0	0	0.0839143	0.052072	0
CDKN1A	0.155944	0	0.77738	0.750853	0.146709	0.755442	0.46249	0.986858	0	0	1.10337	0.938922	0.691042
CDKN1B	0.312111	0.366775	0	0.0390198	0	0.145527	0.133339	0.00142426	0.454149	0	0.101647	0.190964	0
CDKN1C	0	0	0.996003	0.159907	0	0.302009	0.177923	0	0	0	0.0929922	0.00687409	0.42996
CDKN2A	0	0.126484	0	0	0	0.000488217	0.0471078	0	0	0	0	0.0738272	0.593019
CDKN2AIP	0.242638	0	0.420299	0	0	0.110122	0.148783	0	0	0	0.125218	6.56533e-05	0
CDKN2AIPNL	0.0416619	0.145616	0.534661	0.217139	0	0.203379	0.0691996	0	0	0	0.0942369	0.0854509	0
CDKN2B	0	0.133581	0	0	0	0.0383446	0.0417088	0	0	0	0.0154843	0.000184821	0.00369007
CDKN2C	0.0845112	0	0.0459196	0.0339677	0	0.0693289	0.0315601	0	0	0	0.0900107	0.101794	0.796893
CDKN2D	0.151714	0	0.558704	0.0602622	0	0.0529712	0.0844299	0	0	0	0	0.181139	0
CDKN3	0	0	0	0.127233	0	0.0883574	0.0874658	0	0	0	0.0488455	0	0
CDO1	0	0	0	0	0	0.433384	0.019882	0	0	0	0	0.192991	0
CDON	0	0.000129993	0	3.16366e-05	0	0.110288	0.0108521	0	0	0	0	0	0
CDPF1	0.00143546	0	0.425557	0.149276	0	0.0622813	0.00289104	0	0	0	0.0406019	0	0
CDR2	0.00147633	0.0294898	0.504787	0.0558764	0	0.0936743	0	0.262378	0	0	0.0612806	0.0890101	0
CDR2L	0	0	0.28396	0.197923	0	0.146693	0	0	0	0	0.0178877	0.239263	0.996935
CDS2	0.356287	0.750408	1.27895	0.9091	0.258801	0.485633	0.0254462	0.929899	0.308143	0	1.03292	1.24643	1.90075
CDV3	0.922304	0.685833	0.946072	0.582472	0.779556	0.982425	0.413934	0.671713	0.665581	0	0.809817	0.361135	1.3879
CDYL	0.0543694	0.0509999	0.79184	0.085547	0	0.0642576	0.0454704	0	0.0851356	0	0.140553	0	0
CDYL2	0	0	0	0	0	0.0213807	0.033609	0.000220402	0	0	0	0	0
CEACAM1	0.00262699	0	0.727629	0.0668041	0	0.000223592	0.0016199	0.00158316	0	0	4.97583e-05	0	0
CEACAM21	0.0526847	0.0617451	0	0.0471872	0	0	0	0	0.00169711	0	0	0	0
CEBPA	0	0	0	0	0	0.0353333	0.0300839	0	0	0	0.0213197	0	0
CEBPB	0.191342	0.015705	0	0.0515067	0	0.153094	0.569108	0.0886974	0.211549	0.474138	0.145553	0.0886857	0
CEBPD	0.393535	0.204697	0.983934	0.57925	0	1.04709	1.05942	0	0	2.31767	0.921765	0.448481	0.211908
CEBPG	0.0765419	0	0.597378	0.116672	0.161944	0.129025	0.185407	0	0	0	0.0489046	0.158249	0.0243952
CEBPZ	0.29588	0.194148	0.176889	0.139984	0	0.170421	0.106169	0.622021	0	0	0.0722299	0.0394497	0.560297
CECR7	0	0	0	0.0241027	0	0.0125627	0	0	0	0	0	0	0
CELF1	0.257632	0.124835	0	0.205148	0	0.149072	0.312673	0	0.49148	1.9147	0.310144	0.0933991	0.225067
CELF2	1.04306	1.09197	0	0.171476	0	0.302215	0.567131	1.13249	0.336455	0	0	0.0904609	0
CELSR1	0.000189135	0	0	0.0698276	0	0	0	0	0	0	0	0	0
CELSR3	0.0800508	0	0	0	0	0.00252861	0	0	0.000945777	0	0	0	0
CENPB	0.0230217	0	0.0687538	0.0178857	0	0.0193305	0.0996919	0	0	0	0.0202646	0.000793346	0
CENPE	0.0449526	0	0	0	0	0	0.0563187	0	0.185111	0	2.65385e-05	0.0378812	0
CENPH	0.115568	0	0	0	0	0.0119028	0	0	0	0	0	0	0
CENPI	0	0.000356009	0	0	0	0	0.0188296	0.128305	0	0	0	0	0
CENPJ	0	0	0	0.071535	0	0.102123	0.0464471	0.000245037	0	0	0.00446576	8.96899e-05	0
CENPK	0	0	0	0.0331276	0	0.0173493	0.0403443	0	0	0	4.88424e-05	0	0
CENPL	0.000130352	0	0	0.000113484	0	0.0554035	0	0.00122166	0	0	0.000132419	0.145033	0
CENPN	0.00243028	0	0	0.000201467	0	0.0122097	0.000155702	0	0	0	0.0505159	0.00547209	0
CENPO	0.0192177	0	0	0	0	0.00865045	0	0	0	0	0.0100001	0.000564929	0
CENPP	0.0690072	0	0	0.0010547	0	0.0216829	0	0	0.224542	0	0	0	0
CENPQ	0	0	0	0.0728602	0	0.0372618	0.0892735	0.315207	0	0	0.0785423	0	0.0145997
CENPT	0.14706	0	0	0.11654	0.47787	0.0797615	0.129067	0.243169	0	0	0.126812	0.077267	0.0560028
CENPV	0	0	0.350557	0.0626632	0	0.0182606	0	0	0	0	0.0205338	0.0376801	0
CENPW	0	0	0	0.0360458	0	0.0118866	0	0	0	0	0.0235512	0	0
CEP104	0.00437006	0.00228	0.419362	0.10427	0.649434	0.119283	0.37953	0.350012	0.000482675	0	0.0602108	0.110004	0
CEP112	0.0972547	0	0	0.119881	0.672315	0.0538394	0.00274641	0	0	0	0.00708902	0	0
CEP120	0	0.112497	0.31295	0.000221565	0	0.0506487	0.00449489	0.133256	0.0843116	0	0.0367922	0.165787	0
CEP128	0.0313989	0	0	5.59265e-05	0	0.0241271	0.103618	0.000245037	0	0	4.01211e-05	0.000179934	0
CEP135	0.0677962	0.00178862	0	0.0844993	0	0.0290757	0.0798942	0.128854	0.250047	0	0.134185	0	0
CEP152	0	0.0235746	0	0.091782	0.345837	0.0406714	0.0180095	0	0	0	0.00131537	0	0.752658
CEP164	0	0	0.000553314	0.310568	0.206358	0.0651493	0.0561283	0.256005	0	0	0	0.175068	0
CEP170	0	0.00145941	0.116541	0.237002	0.109558	0.0965398	0.066397	0	0	0.121141	0	8.96899e-05	0
CEP170P1	0	0	0	0.0204344	0	0.0042111	0.00131081	0	0	0	3.00944e-05	0	0
CEP19	0.0057397	0	0	0	0	0.115081	0	0	0	0	2.94357e-05	0	0
CEP192	0.0527389	0.0349282	0	0.0183346	0.0801885	0.0215141	0.0488621	0.718983	0.397043	0.0671564	0.000115405	0.0820986	0.275962
CEP250	0.243635	0.00439132	0	0	0	0.0470338	0	0.00363409	0	0	0.0137973	0.000179934	0
CEP290	0.215773	0.0465943	0	0.112952	0	0.109453	0.209049	0.285394	0.17069	0	0.17325	0.0472338	0
CEP350	0.148738	0.345378	0.00375426	0.238219	0.873853	0.194254	0.258679	0.292484	0.00112935	0	0.194572	0.0658909	0.561046
CEP41	0.0787948	0	0	0.0477372	0	0.13893	0	0	0	0	0.150945	0	0
CEP44	0	0	0	0.057252	0	0.0436316	0.0629902	0	0	0	0	0.07217	0
CEP57	0.277909	0.1873	0	0.174872	0	0.136065	0.0655353	0	0.590413	0	0.18093	0.177044	0
CEP57L1	0.000216378	0	0	0.0487917	0	0.0641748	0.100812	0.0336152	0	0	0.0340516	0.214281	0.00184844
CEP63	0.194954	0.220798	0.00178206	0.0325301	0	0.14205	0.029925	0.000440465	0	0	0.174711	0.0737495	0
CEP68	0.241061	0	0.685382	0.244718	0.986717	0.0452691	0.0279669	0	0	0	0.0683729	0.192464	0
CEP70	0	0.124593	0	0.00106984	1.16653	0.0273898	0	0	0.018382	0	0.150342	0.269588	0
CEP76	0	0	0.0547912	0.0357159	0	0.0100865	0.0648153	0	0.113207	0	0.0498794	0	0.259288
CEP78	0.0595651	0.000689688	0	0.0390487	0	0.035411	0.00379819	0.000440465	0.979086	0	0.0539865	0	0
CEP85	0.0330846	0.0103934	0	6.70719e-05	0	0.00359672	0.0305055	0.454289	0.0405416	0	0	0	0
CEP85L	0.160465	0.0936464	0.00266834	0.105466	0.389128	0.0449516	0.0988774	0	0	0	0.193305	0.0236073	0.00826469
CEP89	0.0883574	0	0	0.0757308	0	0.0440603	0.0722794	0	0	0	0.0840508	0.00322078	0
CEP95	0.215557	0	0	0	0	0.13673	0.115417	0.0106362	0	0.0539846	0.217269	0.195541	0.318975
CEP97	0	0.000130965	0.423393	0.0395041	0	0	0.068392	0	0.00112935	0	0.0384936	0.148707	0
CEPT1	0.0939734	0.170406	0.000943864	0.079636	0.000452523	0.0666427	0.0143797	0.000733853	0	0	0.0789752	0.0362514	0.670757
CERCAM	0.000389134	0	0	0.00824949	0	0.193266	0	0.000220402	0	0	0.0048225	0.142902	0
CERK	0.0437244	0	0	0.104586	0.14971	0.0769048	0	0	0.193105	0	0.0511079	0.0369824	0
CERS2	0.184735	0.0852848	0	0.27774	0.419744	0.335529	0.120932	1.07908	0	0	0.368569	0.0922395	1.73339
CERS4	0	0	0	0.0529109	0	0.0959128	0.139596	0.123522	0.152883	0	0.0166988	0.0880731	0
CERS5	0.0290162	0.152388	0.412737	0.324133	0.580574	0.0938633	0.160727	0.0310182	0	0.0671564	0.297171	0.236778	0
CERS6	0	0	0	0	0	0.0269795	0.00365235	0	0	0	0.0435702	0.000357798	0
CES1	0	0	0	0.0584558	0	0.429496	0.00380195	0	0	0	0.0902489	0.100137	0
CES1P1	0	0	0	0.00214201	0	0.0140471	0.0130331	0	0	0	0.0020099	0.0039664	0
CES1P2	0	0	0	0.000774474	0	0.00223615	0	0	0	0	0.000618047	0.000683305	0
CES2	0.034772	0.0319868	0	0.0418617	0.0746604	0.0954845	0.0734828	0	0.394992	0	0.0337529	0.0218443	0
CES3	0.00438885	0.000114703	0	0	0	0	0.000118317	0	0	0	0	0	0
CES4A	0	0.119285	0	0	0	0.00290172	0.0156812	0	0	0	0	0	0
CETN2	0	0	0	0.245964	0	0.0951795	0.0630262	0	0	0	0.209301	0.296973	0
CETN3	0.0568383	0	0	0.0558025	0	0.0775509	0.00631093	0.295289	0	0	0.0492209	0.0508279	0
CETP	0	0	0.47117	0.0663785	0	0	0.0539478	0	0	0	0	0	0
CFB	0	0	0	0.0103126	0	0.0800253	0.0299608	0	0	0	0.0552582	0.00806841	0
CFD	0.0824642	0	0	0	0	3.26359	0.652548	0.211736	0	0.713059	0.268723	0	0
CFDP1	0.0975496	0.116702	0.287884	0.106133	0.94024	0.205715	0.0421685	0.000204338	0	0	0.291488	0.33434	0.796694
CFH	0.191408	0.0016729	0	0.199574	0.841051	0.518971	0	0	0.0033691	0	0.174633	0.359963	0.398127
CFHR1	0.00993163	0	0	0.000703554	0.0235552	0.0190526	0	0	0	0	0.0888393	0.0209677	0.0225044
CFHR4	0.00016531	0	0	0	0	4.78331e-05	0	0	0	0.187865	5.24128e-05	0	0
CFHR5	0	0.000209	0	0	0	2.26896e-05	0	0	0	0	0	0.000179934	0
CFI	0	0	0.961832	0.842825	0	0.0130118	0	0.000204338	0	0	0.0342135	0	1.70015
CFL1	1.7969	2.56523	2.53126	1.81151	1.81522	1.4907	1.93535	2.1015	2.06019	2.50698	2.20392	2.26006	1.99247
CFL1P1	0	0.000234016	0	3.16366e-05	0	0	0.00274641	0	0	0	0	0.0739864	0
CFL2	0.171004	0	0.589077	0.217242	0	0.223198	0.0355443	0.0640603	0	0	0.704683	0.730471	0
CFLAR	0.487896	0.470326	0.160878	0.80224	0.525482	0.561248	0.728541	0.7615	1.38164	0.187865	0.360798	0.397053	1.99032
CFP	0	0	0	0	0	0	0.108996	0	0	0	3.53344e-05	0	0
CFTR	0	0	0	0	0	0.0126506	0.0730912	0	0	0	0	0	0.000919893
CGGBP1	0.144864	0.185576	0.444642	0.186313	0.0344223	0.246025	0.0617323	0	0	0	0.275886	0.107866	0
CGNL1	0.0693102	0	0	5.89248e-05	0.466086	0.0506465	0	0	0	0	0.0637424	0.0382526	0
CGREF1	0	0	0	0.0023333	0	0.0474752	0	0	0	0	0.000169631	0.0420324	0
CGRRF1	0.128265	0.259763	0.029407	0.149181	0	0.221836	0.140668	0.354375	0	0	0.121368	0.160426	0
CH25H	0.234897	0.223449	0	0	0	0.141996	0.136823	0	0	0	0.756484	0.116215	0
CHAC2	0.0348093	0	0	0.0333407	0.614565	0.0627914	0	0	0	0	0.0980566	0	0
CHADL	0	0	0	0	0	1.87002e-05	0.000505219	0	0	0	0	0.00013713	0
CHAF1A	0	0.00114111	0	0.0198535	0	0.0238457	0	0	0	0	0	0	0
CHAF1B	0.104454	0.000364921	0.0251677	0.0373395	0	4.36547e-05	0	0	0	0	0	0	0
CHAMP1	0	0	0.000472377	0.0213831	0	0.000131063	0.00269131	0	0	0	0.0531745	0	0
CHCHD1	0.233572	0	0	0.0777744	0	0.135413	0.0836629	0	0.267913	0	0.173188	0.25895	0
CHCHD10	0.0331034	0	0	0.0190022	0	0.00670544	0.101634	0.0111047	0.00199241	0	0.0321693	0.0260173	0
CHCHD2	0.680888	0.535822	1.21363	0.785827	0.410358	1.02961	0.515688	0.502521	0.47852	0	1.23621	0.990446	0.671719
CHCHD3	0.220429	0.254764	0.853862	0.159194	0.648788	0.13753	0.0458221	0.00849506	0.0109189	0	0.462042	0.287981	0.977902
CHCHD4	0.00037692	0.0184813	0.353313	0.131609	0	0.0768491	0.107458	0	0	0	0.0132248	0.00125729	0
CHCHD5	0.0635282	0.000726673	0	0.164664	0	0.0909646	0.000300842	0	0	0	0.234386	0.148431	0
CHCHD6	0	0	0	0.0559184	0	0.0737916	0	0	0	0	0.0496197	0.182332	0
CHCHD7	0.298562	0.145398	0.129546	0.138303	0	0.136543	0.134683	0.389044	0	0	0.180699	0.117653	0
CHD1	0.325687	0.370986	0.343685	0.358983	0.330515	0.155461	0.167318	0.208304	0	1.62182	0.245259	0.103358	0.819744
CHD1L	0.00301591	0.010906	0.00266834	0.000606581	0.0468169	0.0213975	0.00556375	0	0	0	0.0113922	0.012235	0.0296584
CHD2	0.612118	0.515779	0.29892	0.400579	0.512036	0.356383	0.602342	0.605353	0.861964	1.85979	0.481491	0.329809	0.702468
CHD3	0.0874561	0.333937	0	0.0125458	0	0.122764	0.071854	0.402423	0	0	0.0432377	0.0292309	0
CHD4	0.27657	0.251074	0.41892	0.187889	0	0.218204	0.233307	0.385263	0.742174	0	0.376694	0.0881975	0.480952
CHD6	0.300023	0.0254904	0	0.329387	1.07412	0.122625	0.16863	0	0	0	0.298612	0.0770114	0.219128
CHD7	0.440581	0.00298599	0.271654	0.120769	0	0.0409367	0.268603	0.861062	0	0	0.0222572	5.67179e-05	0.328185
CHD8	0.00434869	0.191685	0.183332	0.0648916	0	0.0642102	0.157586	0.210568	0.338965	0	0.138777	0.0314996	0.116731
CHD9	0.177052	0.410693	0.851173	0.81788	1.09816	0.962498	0.267313	0.146524	0	0	0.583868	0.42705	1.03738
CHEK1	0	0	0	0	0	0.0325822	0.0870898	0.000204338	0	0	0	0	0
CHEK2	0.000142761	0.0183543	0	0.0268494	0	0.130849	0.0388345	0.287453	0	0	0	0	0
CHERP	0.0302318	0.128543	0	0.145822	0	0.0117267	0.0114323	0.0281758	0	0	0.0408694	0	0.41326
CHFR	0.0835397	0.00904368	0	0.0720545	0.3131	0.0747723	0.0146738	0.306019	0.00199241	0	0.039167	0.363534	0.00917462
CHI3L2	0	0	0	0	0	0.0556373	0	0	0	0	0	0	0
CHIA	0.00689023	0	0	0	0	3.11371e-05	0	0	0	0	0	0	0
CHIC1	0	0	0	0	0	0.0107809	0.00471676	0.254557	0.507849	0	0.0056541	0.0263012	0.297749
CHIC2	0.309305	0	0.410631	0.204547	0.440494	0.24017	0.0227202	0	0	0	0.0331799	0.386316	0.177865
CHID1	0.0814041	0.216442	0	0.185899	0.492409	0.382187	0.103378	0	0	0	0.0873037	0.0168588	0
CHKA	0.0697415	0	0	0.030313	0	0.0211966	0.10708	0.502988	0.00144454	0	0.000234143	0	0
CHKB	0.0165718	0.0449068	0.155691	0.0746844	0.00628009	0.0103655	0.115297	0.0809813	0	0	0.0491091	0.0782236	0
CHL1	0	0	0	0.000213375	0.000452523	0.0262417	0	0	0	0	0	6.86122e-05	0
CHM	0.0640368	0.06314	1.1357	0.13738	0.462274	0.0821899	0.151501	0.059973	0	0	0.0118203	0.00588249	0.00369007
CHML	0	0	0.425525	0	0	0.000263903	0.182999	0	0	0	0.0796639	0.063542	0
CHMP1A	0	0.0860968	0	0.113203	0	0.144377	0.245366	0.277161	0	0	0.170005	0.147331	0.631385
CHMP1B	0.438785	0.023916	0	0.223932	0.0538256	0.389646	0.0667885	0.454575	0.815639	0	0.162983	0.384995	0
CHMP2A	0.36726	0.106893	1.02884	0.6441	1.22812	0.717242	0.219616	0	0	0	0.984144	0.599035	1.25064
CHMP2B	0.157775	0.257615	0.430741	0.263582	0	0.41271	0.241585	0.181826	0	0	0.455845	0.422825	0.22801
CHMP3	0.151013	0.0104061	0.0035515	0.5848	0	0.452337	0.390308	0.0949735	0.380744	0	0.689519	0.897678	0.146612
CHMP4A	0.0825165	0.0531349	0.00920176	0.0288233	0.0022565	0.0156298	0.0801215	0	0.0179203	0	0.0307009	0.0231421	0.100336
CHMP4B	0	0	0	0	0	0.0325509	0.142369	0	0	0	0.0304857	0.088156	0
CHMP4C	0	0.000154665	0	0	0	0	0	0	0	0	0.140229	0.079101	0
CHMP5	0.0814227	0	0.536295	0.233249	0.756011	0.624667	0.199728	0.314297	0	0	0.477083	0.57786	0.211302
CHMP6	0.0681552	0.198313	0	0.0462414	0.9173	0.121401	0.00168541	0	0	0	0.0599278	0	0
CHMP7	0.313215	0.0557238	0	0.0360414	0.094672	0.158785	0.0526921	0	0	0	0.0940092	0	0
CHN1	0	0	0.146004	0.145852	0.615419	0	0	0	0	0	0.318437	0.105334	0.00184844
CHN2	0	0.00386423	0	0	0	0.0134923	0.036402	0.0974263	0	0	0	0	0
CHODL	0.0528528	0	0	0	0	0.033172	0	0	0	0	0	0	0
CHORDC1	0.135955	0.000663394	0	0.231861	0	0.234337	0.0753792	0.00542518	0.0712105	0	0.159345	0.130974	0
CHP1	0.791258	0.947648	1.33559	1.01472	0.956765	1.41549	0.834594	1.83594	0.761332	0	1.83472	1.55821	0.82219
